activation,hidden_dim,train_loss,train_accuracy,val_loss,val_accuracy,training_time
relu,16,0.1889498084783554,0.9305555820465088,0.20922696590423584,0.9250000715255737,3.3001703350000753
tanh,16,0.21265770494937897,0.9083333611488342,0.24525752663612366,0.9083333611488342,3.710006353000608
relu,4,0.2478049397468567,0.8888888955116272,0.306037038564682,0.8916667103767395,5.445932573000391
sigmoid,16,0.283587783575058,0.8611111044883728,0.32280176877975464,0.8583333492279053,3.319905758999994
sigmoid,4,0.29455697536468506,0.8638889193534851,0.32609421014785767,0.8583333492279053,3.378834977000224
tanh,4,0.2848498225212097,0.8638889193534851,0.3263821601867676,0.8583333492279053,3.345030470999518
